# File: EPA_HCFC22.csv
# Title: High GWP emissions from Production of HCFC22
# Units: MtCO2eq
# Description: Sector Industrial Processes
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Albania, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Algeria, - , - , - , - , - , - , - , - , - ,,Africa,OPEC
Andorra, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Angola, - , - , - , - , - , - , - , - , - ,Africa,,OPEC
Antigua and Barbuda, - , - , - , - , - , - , - , - , - ,Central and South America,,
Argentina, - , - ,0.1,0.5,0.6,0.7,1.5,1.6,1.7,,Central and South America,
Armenia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Australia,1.1,0.7, - , - , - , - , - , - , - ,,OECD,
Austria, - , - , - , - , - , - , - , - , - ,,OECD,EU
Azerbaijan, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Bahamas, - , - , - , - , - , - , - , - , - ,Central and South America,,
Bahrain, - , - , - , - , - , - , - , - , - ,Middle East,,
Bangladesh, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Barbados, - , - , - , - , - , - , - , - , - ,Central and South America,,
Belarus, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Belgium, - , - , - , - , - , - , - , - , - ,,OECD,EU
Belize, - , - , - , - , - , - , - , - , - ,Central and South America,,
Benin, - , - , - , - , - , - , - , - , - ,Africa,,
Bhutan, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Bolivia, - , - , - , - , - , - , - , - , - ,,Central and South America,
Bosnia and Herzegovina, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Botswana, - , - , - , - , - , - , - , - , - ,Africa,,
Brazil,1.4,1.8, - , - , - , - , - , - , - ,,Central and South America,
Brunei, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Bulgaria, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,EU
Burkina Faso, - , - , - , - , - , - , - , - , - ,Africa,,
Burma, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Burundi, - , - , - , - , - , - , - , - , - ,Africa,,
Cambodia, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Cameroon, - , - , - , - , - , - , - , - , - ,Africa,,
Canada,0.8, - , - , - , - , - , - , - , - ,,OECD,
Cape Verde, - , - , - , - , - , - , - , - , - ,Africa,,
Central African Republic, - , - , - , - , - , - , - , - , - ,Africa,,
Chad, - , - , - , - , - , - , - , - , - ,Africa,,
Chile, - , - , - , - , - , - , - , - , - ,,OECD,
China, - ,3.2,27.7,91.3,62.1,70,132.2,142.3,147,,Non-OECD Asia,
Colombia, - , - , - , - , - , - , - , - , - ,,Central and South America,
Comoros, - , - , - , - , - , - , - , - , - ,Africa,,
Congo (Brazzaville), - , - , - , - , - , - , - , - , - ,Africa,,
Congo (Kinshasa), - , - , - , - , - , - , - , - , - ,,Africa,
Cook Islands, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Costa Rica, - , - , - , - , - , - , - , - , - ,Central and South America,,
Cote d'Ivoire, - , - , - , - , - , - , - , - , - ,Africa,,
Croatia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Cuba, - , - , - , - , - , - , - , - , - ,Central and South America,,
Cyprus, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,EU
Czech Republic, - , - , - , - , - , - , - , - , - ,,OECD,EU
Denmark, - , - , - , - , - , - , - , - , - ,,OECD,EU
Djibouti, - , - , - , - , - , - , - , - , - ,Africa,,
Dominica, - , - , - , - , - , - , - , - , - ,Central and South America,,
Dominican Republic, - , - , - , - , - , - , - , - , - ,Central and South America,,
Ecuador, - , - , - , - , - , - , - , - , - ,,Central and South America,OPEC
Egypt, - , - , - , - , - , - , - , - , - ,,Africa,
El Salvador, - , - , - , - , - , - , - , - , - ,Central and South America,,
Equatorial Guinea, - , - , - , - , - , - , - , - , - ,Africa,,
Eritrea, - , - , - , - , - , - , - , - , - ,Africa,,
Estonia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,EU
Ethiopia, - , - , - , - , - , - , - , - , - ,,Africa,
Fiji, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Finland, - , - , - , - , - , - , - , - , - ,,OECD,EU
France,1.6,0.2,0.3,0.3, - , - , - , - , - ,,OECD,EU
Gabon, - , - , - , - , - , - , - , - , - ,Africa,,
Gambia, - , - , - , - , - , - , - , - , - ,Africa,,
Georgia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Germany,2.5,1.5,0.1,0.2,0.3,0.4,0.4,0.5,0.6,,OECD,EU
Ghana, - , - , - , - , - , - , - , - , - ,Africa,,
Greece,0.9,3.3,3.7,2.2, - , - , - , - , - ,,OECD,EU
Grenada, - , - , - , - , - , - , - , - , - ,Central and South America,,
Guatemala, - , - , - , - , - , - , - , - , - ,Central and South America,,
Guinea, - , - , - , - , - , - , - , - , - ,Africa,,
Guinea-Bissau, - , - , - , - , - , - , - , - , - ,Africa,,
Guyana, - , - , - , - , - , - , - , - , - ,Central and South America,,
Haiti, - , - , - , - , - , - , - , - , - ,Central and South America,,
Holy See, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Honduras, - , - , - , - , - , - , - , - , - ,Central and South America,,
Hungary, - , - , - , - , - , - , - , - , - ,,OECD,EU
Iceland, - , - , - , - , - , - , - , - , - ,,OECD,
India, - ,6.4,16.8,34.2,29.1,37.3,75.2,80.9,83.6,,Non-OECD Asia,
Indonesia, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Iran, - , - , - , - , - , - , - , - , - ,,Middle East,OPEC
Iraq, - , - , - , - , - , - , - , - , - ,,Middle East,OPEC
Ireland, - , - , - , - , - , - , - , - , - ,,OECD,EU
Israel, - , - , - , - , - , - , - , - , - ,,OECD,
Italy,0.4,0.4,0.1,0.2, - , - , - , - , - ,,OECD,EU
Jamaica, - , - , - , - , - , - , - , - , - ,Central and South America,,
