# File: EPA_ODSS_Aerosols.csv
# Title: HFC emissions from MDI aerosols
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Afghanistan,0,0,0,0,0.02,0.05,0.06,0.07,0.08,Non-OECD Asia,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Algeria,0,0,0.03,0.12,1.53,3.21,3.83,4.53,5.25,,Africa
Angola,0,0,0,0,0.01,0.02,0.02,0.03,0.03,Africa,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,
Argentina,0,0,0.01,0.03,0.36,0.71,0.82,0.94,1.07,,Central and South America
Armenia,0,0.01,0.01,0.03,0.06,0.09,0.11,0.13,0.15,,Non-OECD Europe & Eurasia
Australia,0,0.19,0.21,0.24,0.62,1.02,1.1,1.18,1.27,,OECD
Austria,0,0.07,0.07,0.08,0.19,0.29,0.3,0.3,0.3,,OECD
Azerbaijan,0,0,0,0.01,0.01,0.02,0.02,0.03,0.03,,Non-OECD Europe & Eurasia
Bahamas,0,0,0,0,0,0.01,0.01,0.01,0.02,Central and South America,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,
Bangladesh,0,0,0.01,0.02,0.28,0.58,0.7,0.83,0.97,,Non-OECD Asia
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,
Belarus,0,0.01,0.01,0.02,0.04,0.07,0.08,0.09,0.1,,Non-OECD Europe & Eurasia
Belgium,0,0.09,0.09,0.1,0.23,0.35,0.36,0.36,0.36,,OECD
Belize,0,0,0,0,0,0,0,0,0,Central and South America,
Benin,0,0,0,0,0,0,0,0,0,Africa,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America
Bosnia and Herzegovina,0,0,0,0,0.01,0.01,0.01,0.02,0.02,Non-OECD Europe & Eurasia,
Botswana,0,0,0,0,0,0,0,0,0,Africa,
Brazil,0,0,0.01,0.03,0.34,0.68,0.78,0.89,1.02,,Central and South America
Brunei,0,0,0,0,0.01,0.01,0.02,0.02,0.02,Non-OECD Asia,
Bulgaria,0,0.01,0.03,0.05,0.1,0.15,0.17,0.18,0.2,,Non-OECD Europe & Eurasia
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,
Burundi,0,0,0,0,0,0.01,0.01,0.01,0.01,Africa,
Cambodia,0,0,0,0,0.01,0.02,0.03,0.03,0.04,,Non-OECD Asia
Cameroon,0,0,0,0,0,0,0,0,0,Africa,
Canada,0,0,0.01,0.02,0.2,0.4,0.43,0.46,0.5,,OECD
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,
Central African Republic,0,0,0,0,0,0,0.01,0.01,0.01,Africa,
Chad,0,0,0,0,0,0,0,0.01,0.01,Africa,
Chile,0,0,0,0,0.02,0.04,0.05,0.06,0.06,,OECD
China,0,0,0.12,0.58,9.44,23.03,31.17,42.19,56.89,,Non-OECD Asia
