# File: EPA_ODSS_FireExt.csv
# Title: HFC emissions from Fire Extinguishers
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Afghanistan,0,4.42062E-06,0.000101813,0.000292073,0.000520138,0.000766509,0.000965798,0.001111154,0.00124754,Non-OECD Asia,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Algeria,0,1.47354E-05,0.000339376,0.000973575,0.001733793,0.002555031,0.003219328,0.003703847,0.004158466,,Africa
Angola,0,0,0,0,0,0,0,0,0,Africa,
Antigua and Barbuda,0,2.26811E-05,0.000532934,0.00156333,0.002827783,0.004285135,0.005617305,0.006689513,0.007698098,Central and South America,
Argentina,0,0.001528509,0.035915084,0.105354821,0.190567992,0.288780816,0.37855754,0.450815007,0.518784836,,Central and South America
Armenia,0,0,3.07692E-05,0.000259883,0.000761097,0.001490474,0.002408832,0.003263785,0.003902052,,Non-OECD Europe & Eurasia
Australia,0,0.0584015,0.74733781,1.74355807,2.855631946,4.015951789,4.765591136,5.39457241,6.037880751,,OECD
Austria,0,0,0.000698869,0.006251439,0.018988607,0.032599761,0.049296654,0.063728219,0.071698844,,OECD
Azerbaijan,0,0,0.00489786,0.041368421,0.121151976,0.237254786,0.383439644,0.519531773,0.621131538,,Non-OECD Europe & Eurasia
Bahamas,0,8.87522E-06,0.000208539,0.000611738,0.001106524,0.001676792,0.002198076,0.002617636,0.003012299,Central and South America,
Bahrain,0,5.11318E-05,0.001177635,0.003378306,0.00601626,0.008865957,0.011171068,0.012852348,0.014429875,Middle East,
Bangladesh,0,1.32619E-06,3.05438E-05,8.76218E-05,0.000156041,0.000229953,0.00028974,0.000333346,0.000374262,,Non-OECD Asia
Barbados,0,3.6487E-05,0.000857328,0.002514922,0.004549042,0.006893478,0.009036535,0.01076139,0.012383896,Central and South America,
Belarus,0,0,0.000479778,0.004052314,0.011867647,0.023240694,0.03756048,0.050891615,0.060843992,,Non-OECD Europe & Eurasia
Belgium,0,0,0.002245845,0.020089264,0.061020688,0.104760704,0.158416871,0.204793314,0.230407253,,OECD
Belize,0,0.000258367,0.006070808,0.017808363,0.032212138,0.048813273,0.063988436,0.076202279,0.087691372,Central and South America,
