# File: EPA_ODSS_RefAC.csv
# Title: HFC emissions from Refrigeration and Air Conditioning
# Description: Sector ODS Substitutes (Industry/Transport)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Afghanistan,0,0.01,0.05,0.12,0.2,0.3,0.45,0.79,1.06,Non-OECD Asia,
Albania,0,0,0,0,0,0.01,0.02,0.05,0.09,,Non-OECD Europe & Eurasia
Algeria,0,0.06,0.35,0.87,1.46,2.13,3.07,5.1,6.42,,Africa
Angola,0,0,0.02,0.05,0.08,0.12,0.2,0.38,0.54,Africa,
Antigua and Barbuda,0,0.01,0.08,0.19,0.32,0.44,0.62,1.02,1.28,Central and South America,
Argentina,0,0.08,0.44,1.01,1.7,2.42,3.45,5.78,7.4,,Central and South America
Armenia,0,0.01,0.05,0.12,0.19,0.28,0.41,0.69,0.89,,Non-OECD Europe & Eurasia
Australia,0,0.86,2.49,3.73,4.1,5.55,7.24,9.83,11.1,,OECD
Austria,0,0.19,0.53,0.72,0.74,0.92,1.14,1.44,1.52,,OECD
Azerbaijan,0,0,0.01,0.03,0.05,0.07,0.1,0.17,0.22,,Non-OECD Europe & Eurasia
Bahamas,0,0,0.01,0.02,0.04,0.06,0.08,0.14,0.17,Central and South America,
Bahrain,0,0,0.02,0.05,0.09,0.15,0.28,0.6,0.93,Middle East,
Bangladesh,0,0,0.03,0.07,0.11,0.17,0.27,0.5,0.69,,Non-OECD Asia
Barbados,0,0,0.01,0.01,0.02,0.04,0.06,0.12,0.17,Central and South America,
Belarus,0,0.01,0.04,0.1,0.16,0.23,0.33,0.55,0.7,,Non-OECD Europe & Eurasia
Belgium,0,0.29,0.79,1.09,1.12,1.4,1.72,2.18,2.3,,OECD
Belize,0,0,0,0.01,0.02,0.02,0.03,0.06,0.07,Central and South America,
Benin,0,0,0.01,0.02,0.04,0.06,0.1,0.22,0.32,Africa,
Bhutan,0,0,0,0,0,0,0,0,0.01,Non-OECD Asia,
Bolivia,0,0,0.01,0.01,0.02,0.03,0.04,0.07,0.09,,Central and South America
Bosnia and Herzegovina,0,0,0.01,0.02,0.03,0.04,0.06,0.09,0.12,Non-OECD Europe & Eurasia,
Botswana,0,0,0,0,0,0.01,0.01,0.02,0.03,Africa,
Brazil,0,0.28,1.52,3.46,5.6,8.21,12.21,21.5,28.64,,Central and South America
Brunei,0,0,0.01,0.03,0.06,0.09,0.15,0.29,0.42,Non-OECD Asia,
Bulgaria,0,0.03,0.13,0.28,0.41,0.57,0.78,1.22,1.46,,Non-OECD Europe & Eurasia
Burkina Faso,0,0,0.01,0.01,0.02,0.04,0.08,0.18,0.28,Africa,
Burundi,0,0,0.01,0.02,0.03,0.04,0.06,0.12,0.16,Africa,
Cambodia,0,0,0.02,0.05,0.08,0.13,0.2,0.37,0.52,,Non-OECD Asia
Cameroon,0,0,0,0.01,0.02,0.03,0.06,0.13,0.2,Africa,
Canada,0,2.17,6.41,9.25,9.78,13.39,17.24,23.12,25.78,,OECD
Cape Verde,0,0,0,0,0,0,0,0.01,0.01,Africa,
Central African Republic,0,0,0,0.01,0.02,0.03,0.04,0.08,0.11,Africa,
Chad,0,0,0,0.01,0.02,0.02,0.03,0.06,0.07,Africa,
Chile,0,0.02,0.11,0.25,0.42,0.62,0.96,1.74,2.37,,OECD
China,0,0.91,6.74,21.21,45.77,82.67,151.16,328.78,534.13,,Non-OECD Asia
Colombia,0,0.05,0.27,0.63,1.06,1.51,2.15,3.62,4.63,,Central and South America
Comoros,0,0,0,0,0,0,0,0,0.01,Africa,
Congo (Brazzaville),0,0,0,0,0,0.01,0.01,0.03,0.04,Africa,
Cook Islands,0,0,0,0,0,0,0.01,0.01,0.02,Non-OECD Asia,
Costa Rica,0,0.01,0.07,0.17,0.28,0.4,0.58,0.97,1.24,Central and South America,
Côte d'Ivoire,0,0.01,0.03,0.07,0.12,0.19,0.31,0.6,0.85,Africa,
Croatia,0,0.02,0.09,0.21,0.33,0.46,0.63,0.98,1.18,,Non-OECD Europe & Eurasia
Cuba,0,0.04,0.2,0.45,0.76,1.07,1.51,2.48,3.12,Central and South America,
Cyprus,0,0.01,0.03,0.06,0.08,0.11,0.15,0.24,0.28,Non-OECD Europe & Eurasia,
Czech Republic,0,0.03,0.19,0.45,0.7,0.98,1.33,2.07,2.48,,OECD
Congo (Kinshasa),0,0,0,0,0.01,0.01,0.02,0.03,0.05,,Africa
Denmark,0,0.19,0.52,0.72,0.74,0.92,1.13,1.44,1.52,,OECD
Djibouti,0,0,0,0.01,0.01,0.02,0.04,0.09,0.13,Africa,
Dominica,0,0,0,0,0,0,0,0.01,0.01,Central and South America,
Dominican Republic,0,0.01,0.06,0.13,0.22,0.32,0.5,0.91,1.25,Central and South America,
Ecuador,0,0.01,0.06,0.15,0.25,0.36,0.54,0.94,1.24,,Central and South America
Egypt,0,0.05,0.31,0.76,1.27,1.89,2.82,4.91,6.43,,Africa
El Salvador,0,0.02,0.09,0.21,0.35,0.5,0.71,1.18,1.51,Central and South America,
Equatorial Guinea,0,0,0,0.01,0.01,0.02,0.03,0.05,0.06,Africa,
Eritrea,0,0,0,0,0,0,0.01,0.03,0.04,Africa,
Estonia,0,0,0,0.01,0.02,0.03,0.04,0.06,0.08,,Non-OECD Europe & Eurasia
Ethiopia,0,0,0.01,0.02,0.03,0.04,0.07,0.13,0.19,,Africa
Fiji,0,0,0.01,0.02,0.04,0.06,0.09,0.16,0.23,Non-OECD Asia,
Finland,0,0.08,0.23,0.31,0.32,0.4,0.49,0.63,0.66,,OECD
France,0,1.74,4.84,6.67,6.81,8.53,10.48,13.32,14.05,,OECD
Gabon,0,0,0,0,0.01,0.01,0.03,0.07,0.1,Africa,
Gambia,0,0,0,0,0,0.01,0.01,0.02,0.03,Africa,
Georgia,0,0.02,0.09,0.23,0.37,0.55,0.81,1.41,1.88,,Non-OECD Europe & Eurasia
Germany,0,2.39,6.65,9.15,9.35,11.7,14.38,18.28,19.28,,OECD
Ghana,0,0,0.02,0.05,0.08,0.12,0.2,0.37,0.5,Africa,
Greece,0,0.12,0.34,0.46,0.47,0.59,0.73,0.92,0.97,,OECD
Grenada,0,0,0,0,0,0,0.01,0.02,0.03,Central and South America,
Guatemala,0,0.02,0.09,0.21,0.36,0.5,0.68,1.09,1.34,Central and South America,
Guinea,0,0,0,0.01,0.02,0.03,0.05,0.09,0.12,Africa,
Guinea-Bissau,0,0,0,0.01,0.01,0.02,0.04,0.07,0.1,Africa,
Guyana,0,0,0.01,0.01,0.02,0.04,0.05,0.09,0.11,Central and South America,
Haiti,0,0.01,0.03,0.07,0.12,0.2,0.36,0.76,1.14,Central and South America,
Honduras,0,0,0.02,0.05,0.08,0.11,0.15,0.25,0.3,Central and South America,
Hungary,0,0.03,0.16,0.38,0.6,0.84,1.14,1.78,2.13,,OECD
Iceland,0,0.01,0.03,0.04,0.05,0.06,0.08,0.1,0.1,,OECD
India,0,0.09,0.56,1.53,3,5.46,10.3,22.72,36.87,,Non-OECD Asia
Indonesia,0,0.03,0.16,0.4,0.65,1.01,1.61,3.04,4.26,,Non-OECD Asia
Iran,0,0.05,0.3,0.75,1.2,1.81,2.81,5.17,7.14,,Middle East
Ireland,0,0.07,0.2,0.27,0.27,0.34,0.42,0.54,0.57,,OECD
