# File: EPA_ODSS_Solvents.csv
# Title: HFC emissions from Solvents
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Algeria,0,0,0,0,0,0,0,0,0,,Africa
Angola,0,0,0,0,0,0,0,0,0,Africa,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,
Argentina,0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,,Central and South America
Armenia,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Australia,0,0.02,0.05,0.06,0.06,0.07,0.08,0.09,0.1,,OECD
Austria,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,,OECD
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia
Belgium,0,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.04,,OECD
Belize,0,0,0,0,0,0,0,0,0,Central and South America,
Benin,0,0,0,0,0,0,0,0,0,Africa,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Botswana,0,0,0,0,0,0,0,0,0,Africa,
Brazil,0,0.04,0.08,0.09,0.12,0.14,0.16,0.19,0.22,,Central and South America
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Bulgaria,0,0,0,0,0,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,
Burundi,0,0,0,0,0,0,0,0,0,Africa,
Cambodia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia
Cameroon,0,0,0,0,0,0,0,0,0,Africa,
Canada,0,0.04,0.08,0.09,0.1,0.12,0.13,0.15,0.16,,OECD
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,
Chad,0,0,0,0,0,0,0,0,0,Africa,
Chile,0,0,0,0,0,0,0,0,0,,OECD
China,0,0.1,0.27,0.43,0.72,1.02,1.42,1.97,2.72,,Non-OECD Asia
Colombia,0,0,0,0,0,0,0,0,0,,Central and South America
Comoros,0,0,0,0,0,0,0,0,0,Africa,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,
Cook Islands,0,0,0,0,0,0,0,0,0,Non-OECD Asia,
Costa Rica,0,0,0,0,0,0,0,0,0,Central and South America,
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,Africa,
Croatia,0,0,0,0,0.01,0.01,0.01,0.01,0.01,,Non-OECD Europe & Eurasia
Cuba,0,0,0,0,0,0,0,0,0,Central and South America,
Cyprus,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,
Czech Republic,0,0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,,OECD
