# File: EPA_PFC_PV.csv
# Title: EPA PFC emissions from photovoltaics
# Description: Sector Industrial Processes Photovoltaic Manufacturing
# Units: MtCO2e
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Albania, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Algeria, - , - , - , - , - , - , - , - , - ,,Africa,OPEC
Andorra, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Angola, - , - , - , - , - , - , - , - , - ,Africa,,OPEC
Antigua and Barbuda, - , - , - , - , - , - , - , - , - ,Central and South America,,
Argentina, - , - , - , - , - , - , - , - , - ,,Central and South America,
Armenia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Australia, - , - , - ,0,0,0,0,0.1,0.2,,OECD,
Austria, - , - , - , - , - , - , - , - , - ,,OECD,EU
Azerbaijan, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Bahamas, - , - , - , - , - , - , - , - , - ,Central and South America,,
Bahrain, - , - , - , - , - , - , - , - , - ,Middle East,,
Bangladesh, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Barbados, - , - , - , - , - , - , - , - , - ,Central and South America,,
Belarus, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Belgium, - , - , - ,0,0,0.1,0.2,0.6,1.4,,OECD,EU
Belize, - , - , - , - , - , - , - , - , - ,Central and South America,,
Benin, - , - , - , - , - , - , - , - , - ,Africa,,
Bhutan, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Bolivia, - , - , - , - , - , - , - , - , - ,,Central and South America,
Bosnia and Herzegovina, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Botswana, - , - , - , - , - , - , - , - , - ,Africa,,
Brazil, - , - , - , - , - , - , - , - , - ,,Central and South America,
Brunei, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Bulgaria, - , - , - , - ,0,0,0,0,0.1,,Non-OECD Europe & Eurasia,EU
Burkina Faso, - , - , - , - , - , - , - , - , - ,Africa,,
Burma, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Burundi, - , - , - , - , - , - , - , - , - ,Africa,,
Cambodia, - , - , - , - , - , - , - , - , - ,,Non-OECD Asia,
Cameroon, - , - , - , - , - , - , - , - , - ,Africa,,
Canada, - , - , - , - , - , - , - , - , - ,,OECD,
Cape Verde, - , - , - , - , - , - , - , - , - ,Africa,,
Central African Republic, - , - , - , - , - , - , - , - , - ,Africa,,
Chad, - , - , - , - , - , - , - , - , - ,Africa,,
Chile, - , - , - , - , - , - , - , - , - ,,OECD,
China, - , - ,0,0.1,1.8,3.8,8.3,20.2,49.2,,Non-OECD Asia,
Colombia, - , - , - , - , - , - , - , - , - ,,Central and South America,
Comoros, - , - , - , - , - , - , - , - , - ,Africa,,
Congo (Brazzaville), - , - , - , - , - , - , - , - , - ,Africa,,
Congo (Kinshasa), - , - , - , - , - , - , - , - , - ,,Africa,
Cook Islands, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Costa Rica, - , - , - , - , - , - , - , - , - ,Central and South America,,
Cote d'Ivoire, - , - , - , - , - , - , - , - , - ,Africa,,
Croatia, - , - ,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Cuba, - , - , - , - , - , - , - , - , - ,Central and South America,,
Cyprus, - , - , - , - ,0,0,0,0.1,0.2,Non-OECD Europe & Eurasia,,EU
Czech Republic, - , - ,0,0,0,0,0,0,0,,OECD,EU
Denmark, - , - , - , - , - , - , - , - , - ,,OECD,EU
Djibouti, - , - , - , - , - , - , - , - , - ,Africa,,
Dominica, - , - , - , - , - , - , - , - , - ,Central and South America,,
Dominican Republic, - , - , - , - , - , - , - , - , - ,Central and South America,,
Ecuador, - , - , - , - , - , - , - , - , - ,,Central and South America,OPEC
Egypt, - , - , - , - , - , - , - , - , - ,,Africa,
El Salvador, - , - , - , - , - , - , - , - , - ,Central and South America,,
Equatorial Guinea, - , - , - , - , - , - , - , - , - ,Africa,,
Eritrea, - , - , - , - , - , - , - , - , - ,Africa,,
Estonia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,EU
Ethiopia, - , - , - , - , - , - , - , - , - ,,Africa,
Fiji, - , - , - , - , - , - , - , - , - ,Non-OECD Asia,,
Finland, - , - , - , - , - , - , - , - , - ,,OECD,EU
France, - , - ,0,0,0,0,0.1,0.2,0.5,,OECD,EU
Gabon, - , - , - , - , - , - , - , - , - ,Africa,,
Gambia, - , - , - , - , - , - , - , - , - ,Africa,,
Georgia, - , - , - , - , - , - , - , - , - ,,Non-OECD Europe & Eurasia,
Germany, - , - ,0,0.1,0.5,0.9,1.9,4.7,11.4,,OECD,EU
Ghana, - , - , - , - , - , - , - , - , - ,Africa,,
Greece, - , - , - , - ,0,0,0.1,0.1,0.4,,OECD,EU
Grenada, - , - , - , - , - , - , - , - , - ,Central and South America,,
Guatemala, - , - , - , - , - , - , - , - , - ,Central and South America,,
Guinea, - , - , - , - , - , - , - , - , - ,Africa,,
Guinea-Bissau, - , - , - , - , - , - , - , - , - ,Africa,,
Guyana, - , - , - , - , - , - , - , - , - ,Central and South America,,
Haiti, - , - , - , - , - , - , - , - , - ,Central and South America,,
Holy See, - , - , - , - , - , - , - , - , - ,Non-OECD Europe & Eurasia,,
Honduras, - , - , - , - , - , - , - , - , - ,Central and South America,,
Hungary, - , - , - , - , - , - , - , - , - ,,OECD,EU
Iceland, - , - , - , - , - , - , - , - , - ,,OECD,
India, - , - ,0,0,0.1,0.3,0.7,1.7,4.2,,Non-OECD Asia,
Indonesia, - , - , - , - ,0,0,0,0,0.1,,Non-OECD Asia,
Iran, - , - , - , - , - , - , - , - , - ,,Middle East,OPEC
Iraq, - , - , - , - , - , - , - , - , - ,,Middle East,OPEC
Ireland, - , - , - , - , - , - , - , - , - ,,OECD,EU
Israel, - , - , - , - , - , - , - , - , - ,,OECD,
Italy, - , - , - , - ,0.1,0.2,0.4,1,2.5,,OECD,EU
Jamaica, - , - , - , - , - , - , - , - , - ,Central and South America,,
