# File: EPA_SF6_EPS.csv
# Title: EPA SF6 emissions from electric power systems
# Description: Sector Industrial Processes Electric Power Systems
# Units: MtCO2e
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0.002180228,0.000930172,0.000720736,0.003655954,0.004202298,0.004870998,0.005552307,0.006237461,0.006877613,Non-OECD Asia,,
Albania,0.003542118,0.002920358,0.00507055,0.012914014,0.014843876,0.017205943,0.019612546,0.02203273,0.024293956,,Non-OECD Europe & Eurasia,
Algeria,0.027188265,0.019641848,0.026595094,0.095036643,0.109238861,0.126621748,0.144332391,0.162142979,0.178783764,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0.002045418,0.001457465,0.001609249,0.009221829,0.010599933,0.012286672,0.014005215,0.015733455,0.017348185,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0.08504286,0.07488709,0.098877743,0.304784186,0.338011614,0.356664912,0.378858817,0.400569171,0.421130404,,Central and South America,
Armenia,0.014814951,0.00387843,0.004978824,0.012765498,0.012765498,0.012765498,0.012765498,0.012765498,0.012765498,,Non-OECD Europe & Eurasia,
Australia,0.201692991,0.293982176,0.176917474,0.162138205,0.162138205,0.162138205,0.162138205,0.162138205,0.162138205,,OECD,
Austria,0.012280877,0.015868171,0.017336797,0.021864031,0.017005357,0.013361352,0.012146684,0.009312458,0.006883121,,OECD,EU
Azerbaijan,0.035529785,0.018624065,0.020781295,0.063209246,0.063209246,0.063209246,0.063209246,0.063209246,0.063209246,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0.006488545,0.005798647,0.007232851,0.026736395,0.030140414,0.033482538,0.037188892,0.04145934,0.046503243,Middle East,,
Bangladesh,0.010722433,0.011692287,0.016802013,0.067298626,0.079108309,0.096652273,0.116090553,0.138251148,0.164475186,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,1.76601E-05,0.00000717,0.0004063,0.0014818,0.0014818,0.0014818,0.0014818,0.0014818,0.0014818,,Non-OECD Europe & Eurasia,
Belgium,0.01951435,0.01951435,0.01951435,0.01064734,0.00822749,0.00677558,0.00580764,0.004517053,0.003307128,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0,0,0,0,0,0,0,Africa,,
Bhutan,0.000101716,0.000169468,0.000306863,0.002158322,0.002537069,0.003099718,0.00372312,0.004433828,0.005274855,Non-OECD Asia,,
Bolivia,0.003875192,0.00347946,0.00468808,0.014535122,0.017085771,0.020874907,0.025073176,0.02985941,0.035523264,,Central and South America,
Bosnia and Herzegovina,0.012832499,0.004349324,0.009900994,0.027237206,0.027237206,0.027237206,0.027237206,0.027237206,0.027237206,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,0.452907558,0.353977353,0.433629635,1.270775515,1.633975334,1.90301674,2.188688252,2.511839844,2.774567385,,Central and South America,
Brunei,0.002369952,0.00241418,0.003184775,0.010199273,0.01198906,0.014647891,0.017593811,0.020952304,0.024926622,Non-OECD Asia,,
Bulgaria,0.009836804,0.005183925,0.006872062,0.008644302,0.008644302,0.008644302,0.008644302,0.008644302,0.008644302,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
