# File: EPA_SF6_Semi.csv
# Title: EPA SF6 emissions from the manufacture of semiconductors
# Description: Sector Industrial Processes Manufacture of Semiconductors
# Units: MtCO2e
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0,0,0,0,0,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0,0,0,0,0,0,0,0,0,,Central and South America,
Armenia,0,0,0,0.004383536,0.005805662,0.006862817,0.00780238,0.008397314,0.008808398,,Non-OECD Europe & Eurasia,
Australia,0.000825999,0.001023509,0.001773805,0.001095884,0.001204916,0.001428244,0.001655726,0.00191944,0.00191944,,OECD,
Austria,0.1021008,0.428766,0.3326641,0.16914508,0.060254873,0.060254873,0.060254873,0.060254873,0.060254873,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0.003854662,0.004776375,0.00650395,0.002115867,0.002272161,0.002272161,0.002272161,0.002272161,0.002272161,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0,0,0,0,0,0,0,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,0.002202664,0.002729357,0,0,0,0,0,0,0,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0,0,0.001182536,0.000547942,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Cameroon,0,0,0,0,0,0,0,0,0,Africa,,
Canada,0.015221154,0.015221154,0.011877366,0.010661856,0.011193471,0.01342223,0.015372122,0.017605282,0.02016286,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0,0,0,0,0,0,0,0,Africa,,
Chile,0,0,0,0,0,0,0,0,0,,OECD,
China,0.184473097,0.228583673,0.8514262,1.224650447,0.785265525,1.230275219,0.67170118,0.67170118,0.67170118,,Non-OECD Asia,
Colombia,0,0,0,0,0,0,0,0,0,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,,
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,,Africa,
