# File: EPA_Semi_HFCs.csv
# Title: HFC Emissions from the Manufacture of Semiconductors
# Description: Sector Industrial Processes
# Units: MtCO2e
Country,1990,1995,2000,2005,2010,2015,2020,2025,2030,Rest_of_Region,Main_Region,Secondary_Region
Afghanistan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Albania,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Algeria,0,0,0,0,0,0,0,0,0,,Africa,OPEC
Andorra,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Angola,0,0,0,0,0,0,0,0,0,Africa,,OPEC
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,Central and South America,,
Argentina,0,0,0,0,0,0,0,0,0,,Central and South America,
Armenia,0,0,0,0.000553655,0.000733275,0.000866797,0.000985467,0.001060609,0.00111253,,Non-OECD Europe & Eurasia,
Australia,0.000250372,0.000198953,0.000230226,0.000138414,0.000152185,0.000180392,0.000209124,0.000242432,0.000242432,,OECD,
Austria,0.00192699,0.0085293,0.0038493,0.003978,0.025966608,0.025966608,0.025966608,0.025966608,0.025966608,,OECD,EU
Azerbaijan,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Bahamas,0,0,0,0,0,0,0,0,0,Central and South America,,
Bahrain,0,0,0,0,0,0,0,0,0,Middle East,,
Bangladesh,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Barbados,0,0,0,0,0,0,0,0,0,Central and South America,,
Belarus,0,0,0,0,0,0,0,0,0,,Non-OECD Europe & Eurasia,
Belgium,0.001168404,0.000928449,0.000844161,0.000765882,0.000979179,0.000979179,0.000979179,0.000979179,0.000979179,,OECD,EU
Belize,0,0,0,0,0,0,0,0,0,Central and South America,,
Benin,0,0,0,0,0,0,0,0,0,Africa,,
Bhutan,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bolivia,0,0,0,0,0,0,0,0,0,,Central and South America,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Non-OECD Europe & Eurasia,,
Botswana,0,0,0,0,0,0,0,0,0,Africa,,
Brazil,0.000667659,0.000530542,0,0,0,0,0,0,0,,Central and South America,
Brunei,0,0,0,0,0,0,0,0,0,Non-OECD Asia,,
Bulgaria,0,0,0.000153484,6.92069E-05,0,0,0,0,0,,Non-OECD Europe & Eurasia,EU
Burkina Faso,0,0,0,0,0,0,0,0,0,Africa,,
Burma,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Burundi,0,0,0,0,0,0,0,0,0,Africa,,
Cambodia,0,0,0,0,0,0,0,0,0,,Non-OECD Asia,
Cameroon,0,0,0,0,0,0,0,0,0,Africa,,
Canada,0.002420265,0.001923216,0.002378999,0.000622862,0.000653919,0.000784122,0.000898034,0.001028495,0.001177908,,OECD,
Cape Verde,0,0,0,0,0,0,0,0,0,Africa,,
Central African Republic,0,0,0,0,0,0,0,0,0,Africa,,
Chad,0,0,0,0,0,0,0,0,0,Africa,,
Chile,0,0,0,0,0,0,0,0,0,,OECD,
China,0.055916471,0.044432918,0.110508319,0.154677444,0.184972081,0.241178292,0.289467063,0.289467063,0.289467063,,Non-OECD Asia,
Colombia,0,0,0,0,0,0,0,0,0,,Central and South America,
Comoros,0,0,0,0,0,0,0,0,0,Africa,,
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,Africa,,
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,,Africa,
